10179	2004	1	0	1	1	1	15	16	15	0	16	0	0	0	0	0	0	12	1	1	17	16	39	44	1	0	1.07e+07	-99	2558030	-99	1	1	1	1	0
10179	2006	1	0	1	1	1	17	20	17	0	20	0	0	0	0	0	0	14	1	1	17	16	41	46	1	4350000	-99	-99	-99	-99	1	1	1	1	0
10708	2004	2	0	1	1	0	26	0	4	22	0	0	0	0	0	0	0	20	1	0	15	12	46	36	1	3729753	1.62e+07	-99	5116061	-99	1	0	1	0	0
10708	2006	2	0	1	1	0	28	0	6	22	0	0	0	0	0	0	0	22	1	0	15	12	48	38	1	4003631	-99	-99	4560000	-99	1	0	1	0	0
11113	2004	2	0	0	-99	1	-99	24	-99	-99	21	3	0	0	0	0	0	-99	-99	1	-99	14	-99	49	2	0	-99	2256182	-99	1713880	-99	1	-99	1	1
11113	2006	2	0	0	-99	1	-99	26	-99	-99	23	3	0	0	0	0	0	-99	-99	1	-99	14	-99	51	2	0	-99	-99	-99	2040000	-99	1	-99	1	1
11563	2004	1	0	1	1	0	43	0	28	15	0	0	0	0	0	0	0	34	0	0	2	3	64	67	1	8100429	4.71e+07	-99	1279015	-99	0	0	0	0	0
11563	2006	1	0	1	1	0	45	0	28	17	0	0	0	0	0	0	0	36	1	0	2	3	66	69	1	7000000	-99	-99	3000000	-99	0	0	1	1	0
11717	2004	5	0	1	1	1	22	9	22	0	9	0	0	0	0	0	0	26	1	1	11	6	47	42	2	0	-99	0	-99	2110375	1	1	1	1	0
11717	2006	5	0	1	1	1	22	11	22	0	11	0	0	0	0	0	0	28	1	1	11	6	49	44	2	0	-99	-99	-99	2160000	1	1	1	1	0
11785	2004	2	0	1	1	0	26	15	26	0	4	11	0	0	0	0	0	24	1	0	11	6	51	51	2	0	-99	0	-99	-99	1	0	1	0	0
11785	2006	2	0	1	1	0	26	15	26	0	4	11	0	0	0	0	0	26	1	0	11	6	53	53	2	170000	-99	-99	-99	-99	1	0	1	0	0
12640	2004	3	0	1	1	0	20	0	19	1	0	0	0	0	0	0	0	20	1	0	6	6	41	39	1	0	9321676	-99	1279015	-99	1	0	1	0	0
12640	2006	3	0	1	1	0	22	0	21	1	0	0	0	0	0	0	0	22	0	0	6	6	43	41	1	-99	-99	-99	3600000	-99	1	1	1	1	0
13554	2004	5	0	1	0	0	44	0	43	1	0	0	0	0	0	0	0	52	0	0	12	14	75	65	1	1.92e+07	0	-99	-99	-99	0	0	0	0	0
13554	2006	5	0	1	0	0	44	0	43	1	0	0	0	0	0	0	0	54	0	0	12	14	77	67	1	2.50e+07	-99	-99	-99	-99	0	0	0	0	0
13631	2004	3	0	1	1	0	18	3	18	0	3	0	0	0	0	0	0	23	1	0	16	11	44	44	2	0	-99	1747458	-99	-99	1	0	1	0	0
13631	2006	3	0	0	-99	0	-99	3	-99	-99	3	0	0	0	0	0	1	25	-99	0	16	11	46	46	2	-99	-99	-99	-99	-99	-99	0	-99	0	0
13794	2004	1	0	1	1	0	30	15	15	15	15	0	0	0	0	0	0	4	0	0	10	15	45	40	2	1065846	-99	2559296	-99	-99	0	1	1	1	0
13794	2006	1	0	1	1	0	30	15	15	15	15	0	0	0	0	0	0	6	0	0	10	15	47	42	2	100000	-99	-99	-99	-99	0	0	1	0	0
15025	2004	0	0	1	1	0	30	0	22	8	0	0	0	0	0	0	0	15	1	0	6	6	55	52	1	3389390	4.87e+08	-99	1765041	-99	1	0	1	0	0
15025	2006	0	0	1	1	0	32	0	24	8	0	0	0	0	0	0	0	17	1	0	6	6	57	54	1	440000	-99	-99	1920000	-99	1	0	1	0	0
15640	2004	0	0	0	1	-99	20	-99	15	5	-99	-99	0	0	0	0	0	-99	1	-99	15	-99	46	-99	1	5798202	7119864	-99	2302227	-99	1	-99	1	-99	1
15640	2006	0	0	0	1	-99	22	-99	17	5	-99	-99	0	0	0	0	0	-99	1	-99	15	-99	48	-99	1	1.50e+07	-99	-99	2160000	-99	1	-99	1	-99	1
17009	2004	6	0	1	1	0	30	0	28	2	0	0	0	0	0	0	0	25	0	0	14	12	50	40	1	1.09e+07	2.75e+07	-99	2302227	-99	0	0	1	0	0
17009	2006	6	0	1	1	2	32	5	28	4	0	5	0	0	0	0	0	27	0	0	14	12	52	42	1	-99	-99	-99	2400000	-99	0	0	1	1	0
17708	2004	3	0	1	1	0	52	0	46	6	0	0	0	0	0	0	0	38	0	0	9	12	71	55	1	4231408	5918.276	-99	639507.6	-99	0	0	0	0	0
17708	2006	3	0	1	1	0	54	0	46	8	0	0	0	0	0	0	0	40	0	0	9	12	73	57	1	1.48e+07	-99	-99	480000	-99	0	0	1	0	0
17794	2004	6	0	1	1	0	14	9	14	0	7	2	0	0	0	0	0	13	1	0	15	9	39	42	2	190897.8	-99	1223765	-99	-99	1	0	1	0	0
17794	2006	6	0	1	1	0	24	9	18	6	7	2	0	0	0	0	0	15	1	0	15	9	41	44	2	1.51e+07	-99	-99	-99	-99	1	0	1	0	0
18478	2004	2	0	1	1	2	24	5	24	0	0	5	0	0	0	0	0	19	0	0	14	11	42	42	1	2.98e+07	3.34e+07	-99	1918523	-99	1	0	1	1	0
18478	2006	2	0	1	1	0	26	0	25	1	0	0	0	0	0	0	0	21	1	0	14	11	44	44	1	7194309	-99	-99	4800000	-99	1	1	1	1	0
18631	2004	2	0	0	-99	1	-99	30	-99	-99	29	1	0	0	0	0	0	-99	-99	1	-99	14	-99	58	2	4796307	-99	2.41e+07	-99	7674091	-99	1	-99	1	1
18631	2006	2	0	0	-99	1	-99	32	-99	-99	31	1	0	0	0	0	0	-99	-99	1	-99	14	-99	60	2	5500000	-99	-99	-99	9600000	-99	1	-99	1	1
19247	2004	0	0	0	1	-99	24	-99	22	2	-99	-99	0	0	0	0	0	-99	0	-99	10	-99	40	-99	1	0	801462	-99	1534818	-99	0	-99	1	-99	1
19247	2006	0	0	0	0	-99	26	-99	22	4	-99	-99	0	0	0	0	0	-99	0	-99	10	-99	42	-99	1	0	-99	-99	-99	-99	0	-99	1	-99	1
19640	2004	1	0	0	0	-99	24	-99	7	17	-99	-99	0	0	0	0	0	-99	0	-99	6	-99	44	-99	1	0	1068239	-99	-99	-99	0	-99	1	-99	1
19640	2006	1	0	0	1	-99	24	-99	7	17	-99	-99	0	0	0	0	0	-99	0	-99	6	-99	46	-99	1	0	-99	-99	600000	-99	0	-99	0	-99	1
19717	2004	4	0	1	1	0	29	0	23	6	0	0	0	0	0	0	0	29	0	0	12	8	49	46	1	1358954	0	-99	3837045	-99	0	0	1	1	0
