 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
   1,          0.09440267,          0.10851000,       6250.00000000,          0.01410733,   1197,0_Assets     _Age_51._55._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   2,          0.10000000,          0.06216000,       9090.90909091,         -0.03784000,   1090,0_Assets     _Age_56._61._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   3,          0.10532544,          0.07452000,       5882.35294118,         -0.03080544,    845,0_Assets     _Age_61._66._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   4,          0.18266254,          0.17834000,       1075.26881720,         -0.00432254,    323,0_Assets     _Age_51._55._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   5,          0.24203822,          0.15287000,       1219.51219512,         -0.08916822,    314,0_Assets     _Age_56._61._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   6,          0.20735786,          0.16352000,       1162.79069767,         -0.04383786,    299,0_Assets     _Age_61._66._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   7,          0.13043478,          0.17241000,        609.75609756,          0.04197522,    207,0_Assets     _Age_51._55._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   8,          0.14685315,          0.22857000,        396.82539683,          0.08171685,    143,0_Assets     _Age_56._61._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   9,          0.18032787,          0.37500000,        238.66348449,          0.19467213,    122,0_Assets     _Age_61._66._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  10,          0.32330827,          0.22204000,       3448.27586207,         -0.10126827,   1197,Assets<5     _Age_51._55._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
