 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
   1,          0.10968295,          0.10851000,       6250.00000000,         -0.00117295,   1167,0_Assets     _Age_51._55._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   2,          0.09849906,          0.06216000,       9090.90909091,         -0.03633906,   1066,0_Assets     _Age_56._61._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   3,          0.08690476,          0.07452000,       5882.35294118,         -0.01238476,    840,0_Assets     _Age_61._66._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   4,          0.17441860,          0.17834000,       1075.26881720,          0.00392140,    344,0_Assets     _Age_51._55._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   5,          0.25776398,          0.15287000,       1219.51219512,         -0.10489398,    322,0_Assets     _Age_56._61._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   6,          0.19407895,          0.16352000,       1162.79069767,         -0.03055895,    304,0_Assets     _Age_61._66._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   7,          0.13824885,          0.17241000,        609.75609756,          0.03416115,    217,0_Assets     _Age_51._55._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   8,          0.09756098,          0.22857000,        396.82539683,          0.13100902,    164,0_Assets     _Age_56._61._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   9,          0.11811024,          0.37500000,        238.66348449,          0.25688976,    127,0_Assets     _Age_61._66._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  10,          0.30505570,          0.22204000,       3448.27586207,         -0.08301570,   1167,Assets<5     _Age_51._55._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
  11,          0.30018762,          0.17733000,       3703.70370370,         -0.12285762,   1066,Assets<5     _Age_56._61._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
  12,          0.31190476,          0.18510000,       2777.77777778,         -0.12680476,    840,Assets<5     _Age_61._66._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
  13,          0.47093023,          0.18471000,       1041.66666667,         -0.28622023,    344,Assets<5     _Age_51._55._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  14,          0.32919255,          0.22293000,        909.09090909,         -0.10626255,    322,Assets<5     _Age_56._61._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  15,          0.39473684,          0.26415000,        819.67213115,         -0.13058684,    304,Assets<5     _Age_61._66._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  16,          0.41935484,          0.17241000,        609.75609756,         -0.24694484,    217,Assets<5     _Age_51._55._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  17,          0.43292683,          0.22857000,        396.82539683,         -0.20435683,    164,Assets<5     _Age_56._61._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
