 i, m(i) , mdata(i) , weights(i) , loss(1,i) ,nobs(i)
   1,          0.10428932,          0.10851000,       6250.00000000,          0.00422068,   1189,0_Assets     _Age_51._55._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   2,          0.10232558,          0.06216000,       9090.90909091,         -0.04016558,   1075,0_Assets     _Age_56._61._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   3,          0.09004739,          0.07452000,       5882.35294118,         -0.01552739,    844,0_Assets     _Age_61._66._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
   4,          0.18787879,          0.17834000,       1075.26881720,         -0.00953879,    330,0_Assets     _Age_51._55._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   5,          0.21725240,          0.15287000,       1219.51219512,         -0.06438240,    313,0_Assets     _Age_56._61._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   6,          0.22368421,          0.16352000,       1162.79069767,         -0.06016421,    304,0_Assets     _Age_61._66._Mar_0._0._Fem_1._1._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   7,          0.14084507,          0.17241000,        609.75609756,          0.03156493,    213,0_Assets     _Age_51._55._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   8,          0.14012739,          0.22857000,        396.82539683,          0.08844261,    157,0_Assets     _Age_56._61._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
   9,          0.14876033,          0.37500000,        238.66348449,          0.22623967,    121,0_Assets     _Age_61._66._Mar_0._0._Fem_0._0._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.                   
  10,          0.30361648,          0.22204000,       3448.27586207,         -0.08157648,   1189,Assets<5     _Age_51._55._Mar_1._1._Fem_-999._999._Kid_-999._999._Edu_-999._999._XP_-999._999._FXP_-999._999._Coh_-999._999._LFP_-999._999._FLFP_-999._999._Ass_-999._999._Year_-999._999.              
