20	0.000532847
21	0.000569311
22	0.000608271
23	0.000649897
24	0.000694371
25	0.000747944
26	0.000799128
27	0.000853815
28	0.000912244
29	0.000974671
30	0.001048792
31	0.001120564
32	0.001197248
33	0.001279179
34	0.001366717
35	0.001472872
36	0.001573665
37	0.001681356
38	0.001796416
39	0.00191935
40	0.002062137
41	0.002203255
42	0.00235403
43	0.002515123
44	0.002687241
45	0.002885678
46	0.003083154
47	0.003422495
48	0.003509205
49	0.00363738
50	0.003817751
51	0.004033456
52	0.004295721
53	0.004607962
54	0.004974707
55	0.005396787
56	0.005890516
57	0.006454291
58	0.007088018
59	0.007789945
60	0.008569178
61	0.009414724
62	0.01034609
63	0.01137972
64	0.012533073
65	0.013929636
66	0.015416168
67	0.017008919
68	0.01873603
69	0.020599505
70	0.022622295
71	0.02479963
72	0.027166871
73	0.02973214
74	0.032576835
75	0.03579027
76	0.03930939
77	0.043202372
78	0.047559585
79	0.052421612
80	0.057838341
81	0.064306301
82	0.071439348
83	0.079188333
84	0.087572668
85	0.096606854
86	0.106301828
87	0.11666515
88	0.127702233
89	0.139416397
90	0.151809873
91	0.164884119
92	0.17864003
93	0.193078331
94	0.208199585
95	0.224004292
96	0.240492981
97	0.257666219
98	0.278723463
99	0.290358745
100	0.302470436
101	0.315205839
102	0.328313256
103	0.341965728
104	0.356185919
105	0.370997438
106	0.386424874
107	0.40249384
108	0.419231013
109	0.436664178
110	1.0
