		collinear	means	Assets	Assets	LFP	LFP	Cov	Cov	Earn	Earn	lagEarn	lagEarn	EarnDif	EarnDif	NbEarn	NbEarn	NbCov	NbCov	Age	Age	Married	Married	Female	Female	Numk	Numk	Edu	Edu	XP	XP	CovXP	CovXP	Cohort	Cohort	LFP	LFP	Cov	Cov	lagLFP	lagLFP	lagCov	lagCov	Assets	Assets	Year	Year	YearOdd	YearOdd
24	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
25	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
26	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
27	Assets<10	0	0	5.00000001	10	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
28	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
29	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
30	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
31	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
32	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
33	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	61	66	0	0	1	1	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
34	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	51	55	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
35	Assets>10	0	0	10.00000001	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	56	61	0	0	0	0	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	-999	999	2006	2006	0	0
